ST,Acquiring Institution
WA,Umpqua Bank
WA,"Union Bank, N.A."
CA,"Union Bank, N.A."
NY,Union State Bank
GA,United Bank
GA,United Bank
GA,United Bank
GA,United Bank
IL,United Central Bank
GA,United Community Bank
IL,"United Fidelity Bank, fsb"
CO,"United Fidelity Bank, fsb"
IL,"United Fidelity Bank, fsb"
OH,"United Fidelity Bank, fsb"
MN,United Valley Bank
IL,Urban Partnership Bank
NY,Valley National Bank
NY,Valley National Bank
PA,VIST Bank
AZ,Washington Federal
WA,Washington Federal Savings and Loan Association
OR,Washington Trust Bank of Spokane
VA,WashingtonFirst Bank
CA,Westamerica Bank
CA,Westamerica Bank
AZ,Western State Bank
IL,Wheaton Bank & Trust
WA,Whidbey Island Bank
WA,Whidbey Island Bank
LA,Whitney Bank
CA,Wilshire State Bank
VA,Xenith Bank
KY,Your Community Bank
